"","depth","kinds"
"1",15860182,379
"2",15037496,407
"3",7588851,382
"4",9703164,390
"5",9018049,375
"6",7607008,387
"7",6498882,403
"8",8501363,402
"9",12888338,363
"10",15043915,388
"11",19435598,468
"12",11512063,394
"13",16718319,336
"14",47642424,448
"15",11805081,335
"16",15204955,366
"17",13432467,400
"18",18061546,407
"19",18055012,396
"20",13746637,384
"21",9886803,353
"22",11051211,424
"23",9964473,385
"24",9852523,376
"25",11525773,383
"26",11800235,372
"27",10856403,394
"28",17193058,395
"29",7805859,338
"30",8048860,398
"31",28142287,414
"32",20019838,454
"33",15704300,394
"34",16614244,368
"35",22075705,334
"36",13020926,307
"37",6584376,218
"38",7807373,314
"39",6972909,293
"40",6680452,317
"41",12111644,396
"42",18833516,327
"43",9737225,278
"44",12956845,336
"45",12645507,319
"46",7959846,307
"47",12914263,326
"48",25010612,438
"49",15352106,333
"50",27968214,370
"51",39766079,432
"52",37959405,374
"53",18095851,300
"54",13692458,335
"55",19274944,374
"56",26654516,383
"57",32479993,426
"58",21089450,375
"59",33239212,362
"60",8899421,307
"61",16640138,457
"62",30089690,455
"63",14245978,456
"64",17278902,349
"65",11494540,338
"66",8744001,402
"67",23609899,404
"68",12604726,451
"69",20558300,417
"70",14764260,405
"71",52948733,369
"72",12788036,359
"73",11579994,471
"74",21498240,424
"75",27613226,393
"76",10270695,432
"77",13050118,432
"78",30507720,453
"79",10974286,424
"80",26638407,438
"81",11872778,478
"82",18617314,428
"83",12840144,425
"84",32574682,457
"85",21114947,461
"86",33041159,392
"87",70892268,430
"88",36347637,460
"89",28886476,470
"90",16520773,405
"91",12234019,476
"92",6049475,436
"93",42066894,373
"94",65820944,317
"95",26006502,371
"96",31699208,340
"97",9288061,450
"98",24659198,327
"99",16678083,296
"100",18756891,371
"101",10657414,327
"102",36746857,387
"103",14104662,455
"104",42749264,316
"105",20461884,334
"106",10181875,256
"107",6348811,268
"108",13946090,261
"109",15748464,293
"110",11903103,428
"111",25627841,273
"112",28489665,308
"113",14561803,283
"114",26022030,219
"115",32860369,180
"116",32212034,395
"117",6149314,416
"118",5041336,444
"119",9032640,395
"120",11941249,426
"121",22427649,406
"122",9816011,353
"123",12804943,443
"124",11782959,460
"125",12565931,416
"126",29054487,359
"127",19248968,445
"128",6612994,350
"129",17668038,353
"130",21177401,386
"131",18493846,412
"132",14209829,362
"133",20793703,434
"134",41592895,382
"135",15840705,357
"136",18477735,380
"137",19342679,412
"138",28004363,414
"139",21101635,383
"140",17732860,413
"141",36121404,434
"142",37101628,368
"143",9996721,436
"144",41150906,410
"145",39066121,363
"146",26573038,301
"147",7311699,329
"148",13572516,260
"149",17112016,358
"150",32790415,454
"151",9270070,354
"152",6955287,402
"153",41693764,311
"154",13250370,379
"155",26413348,353
"156",42758418,313
"157",15176452,309
"158",12947965,444
"159",1846552,402
"160",24857299,429
"161",13154869,347
"162",4004152,326
"163",36717228,362
"164",20633568,307
"165",10046042,292
"166",5220017,380
"167",4321406,346
"168",2459903,323
"169",52938198,343
