"","counts","group","group2"
"1",379,"Normal","miRNA"
"2",407,"Normal","miRNA"
"3",382,"Normal","miRNA"
"4",390,"Normal","miRNA"
"5",375,"Normal","miRNA"
"6",387,"Normal","miRNA"
"7",403,"Normal","miRNA"
"8",402,"Normal","miRNA"
"9",363,"Normal","miRNA"
"10",388,"Normal","miRNA"
"11",468,"Normal","miRNA"
"12",394,"Normal","miRNA"
"13",336,"Normal","miRNA"
"14",448,"Normal","miRNA"
"15",335,"Normal","miRNA"
"16",366,"Normal","miRNA"
"17",400,"Normal","miRNA"
"18",407,"Normal","miRNA"
"19",396,"Normal","miRNA"
"20",384,"Normal","miRNA"
"21",353,"Normal","miRNA"
"22",424,"Normal","miRNA"
"23",385,"Normal","miRNA"
"24",376,"Normal","miRNA"
"25",383,"Normal","miRNA"
"26",372,"Normal","miRNA"
"27",394,"Normal","miRNA"
"28",395,"Normal","miRNA"
"29",338,"Normal","miRNA"
"30",398,"Normal","miRNA"
"31",414,"Normal","miRNA"
"32",454,"Normal","miRNA"
"33",394,"Normal","miRNA"
"34",368,"Normal","miRNA"
"35",334,"Normal","miRNA"
"36",307,"Normal","miRNA"
"37",218,"Normal","miRNA"
"38",314,"Normal","miRNA"
"39",293,"Normal","miRNA"
"40",317,"Normal","miRNA"
"41",396,"Normal","miRNA"
"42",327,"Normal","miRNA"
"43",278,"Normal","miRNA"
"44",336,"Normal","miRNA"
"45",319,"Normal","miRNA"
"46",307,"Normal","miRNA"
"47",326,"Normal","miRNA"
"48",438,"Normal","miRNA"
"49",333,"Normal","miRNA"
"50",370,"Normal","miRNA"
"51",432,"Normal","miRNA"
"52",374,"Normal","miRNA"
"53",300,"Normal","miRNA"
"54",335,"Normal","miRNA"
"55",374,"Normal","miRNA"
"56",383,"Normal","miRNA"
"57",426,"Normal","miRNA"
"58",375,"Normal","miRNA"
"59",362,"Normal","miRNA"
"60",307,"Normal","miRNA"
"61",457,"iRBD","miRNA"
"62",455,"iRBD","miRNA"
"63",456,"iRBD","miRNA"
"64",349,"iRBD","miRNA"
"65",338,"iRBD","miRNA"
"66",402,"iRBD","miRNA"
"67",404,"iRBD","miRNA"
"68",451,"iRBD","miRNA"
"69",417,"iRBD","miRNA"
"70",405,"iRBD","miRNA"
"71",369,"iRBD","miRNA"
"72",359,"iRBD","miRNA"
"73",471,"iRBD","miRNA"
"74",424,"iRBD","miRNA"
"75",393,"iRBD","miRNA"
"76",432,"iRBD","miRNA"
"77",432,"iRBD","miRNA"
"78",453,"iRBD","miRNA"
"79",424,"iRBD","miRNA"
"80",438,"iRBD","miRNA"
"81",478,"iRBD","miRNA"
"82",428,"iRBD","miRNA"
"83",425,"iRBD","miRNA"
"84",457,"iRBD","miRNA"
"85",461,"iRBD","miRNA"
"86",392,"iRBD","miRNA"
"87",430,"iRBD","miRNA"
"88",460,"iRBD","miRNA"
"89",470,"iRBD","miRNA"
"90",405,"iRBD","miRNA"
"91",476,"iRBD","miRNA"
"92",436,"iRBD","miRNA"
"93",373,"iRBD","miRNA"
"94",317,"iRBD","miRNA"
"95",371,"iRBD","miRNA"
"96",340,"iRBD","miRNA"
"97",450,"iRBD","miRNA"
"98",327,"iRBD","miRNA"
"99",296,"iRBD","miRNA"
"100",371,"iRBD","miRNA"
"101",327,"iRBD","miRNA"
"102",387,"iRBD","miRNA"
"103",455,"iRBD","miRNA"
"104",316,"iRBD","miRNA"
"105",334,"iRBD","miRNA"
"106",256,"iRBD","miRNA"
"107",268,"iRBD","miRNA"
"108",261,"iRBD","miRNA"
"109",293,"iRBD","miRNA"
"110",428,"iRBD","miRNA"
"111",273,"iRBD","miRNA"
"112",308,"iRBD","miRNA"
"113",283,"iRBD","miRNA"
"114",219,"iRBD","miRNA"
"115",180,"iRBD","miRNA"
"116",395,"iRBD","miRNA"
"117",416,"PD","miRNA"
"118",444,"PD","miRNA"
"119",395,"PD","miRNA"
"120",426,"PD","miRNA"
"121",406,"PD","miRNA"
"122",353,"PD","miRNA"
"123",443,"PD","miRNA"
"124",460,"PD","miRNA"
"125",416,"PD","miRNA"
"126",359,"PD","miRNA"
"127",445,"PD","miRNA"
"128",350,"PD","miRNA"
"129",353,"PD","miRNA"
"130",386,"PD","miRNA"
"131",412,"PD","miRNA"
"132",362,"PD","miRNA"
"133",434,"PD","miRNA"
"134",382,"PD","miRNA"
"135",357,"PD","miRNA"
"136",380,"PD","miRNA"
"137",412,"PD","miRNA"
"138",414,"PD","miRNA"
"139",383,"PD","miRNA"
"140",413,"PD","miRNA"
"141",434,"PD","miRNA"
"142",368,"PD","miRNA"
"143",436,"PD","miRNA"
"144",410,"PD","miRNA"
"145",363,"PD","miRNA"
"146",301,"PD","miRNA"
"147",329,"PD","miRNA"
"148",260,"PD","miRNA"
"149",358,"PD","miRNA"
"150",454,"PD","miRNA"
"151",354,"PD","miRNA"
"152",402,"PD","miRNA"
"153",311,"PD","miRNA"
"154",379,"PD","miRNA"
"155",353,"PD","miRNA"
"156",313,"PD","miRNA"
"157",309,"PD","miRNA"
"158",444,"PD","miRNA"
"159",402,"PD","miRNA"
"160",429,"PD","miRNA"
"161",347,"PD","miRNA"
"162",326,"PD","miRNA"
"163",362,"PD","miRNA"
"164",307,"PD","miRNA"
"165",292,"PD","miRNA"
"166",380,"PD","miRNA"
"167",346,"PD","miRNA"
"168",323,"PD","miRNA"
"169",343,"PD","miRNA"
